customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
110,Sascha,St. Quintin,Male,23,7/31/2000,Analyst Programmer,Financial Services,Affluent Customer,N,No,1
1778,Emera,Margrem,Female,72,7/30/2000,Staff Accountant III,Retail,Mass Customer,N,Yes,2
1185,Xena,Rossbrooke,Female,17,7/23/2000,VP Product Management,Health,Mass Customer,N,Yes,2
2024,Elinor,Biggerstaff,Female,69,7/14/2000,VP Sales,IT,Mass Customer,N,Yes,2
15,Erroll,Radage,Male,91,7/13/2000,Junior Executive,Manufacturing,Mass Customer,N,No,1
2645,Ado,Yaldren,Male,20,6/26/2000,Technical Writer,IT,High Net Worth,N,Yes,1
1951,Rockie,MacCosty,Male,93,6/7/2000,Health Coach II,Manufacturing,Mass Customer,N,Yes,2
1076,Siegfried,Trattles,Male,33,6/6/2000,Pharmacist,Health,Affluent Customer,N,No,2
2731,Meagan,Ferry,Female,74,5/18/2000,Accounting Assistant III,Retail,Mass Customer,N,Yes,1
3482,Roch,Rilston,Female,71,5/18/2000,Clinical Specialist,Health,Affluent Customer,N,Yes,2
2729,Meggi,Shipcott,Female,76,5/10/2000,General Manager,IT,Mass Customer,N,Yes,1
2504,Aloysius,Huffer,Male,52,4/29/2000,VP Marketing,Property,Mass Customer,N,No,2
519,Rabi,Nissle,Male,83,4/7/2000,VP Quality Control,Retail,Mass Customer,N,Yes,1
3201,Zed,Blanckley,Male,61,3/31/2000,Assistant Professor,Financial Services,Mass Customer,N,Yes,1
3960,Hobart,Burgan,Male,6,3/16/2000,Recruiter,Property,Mass Customer,N,No,1
2541,Cleveland,Islep,Male,17,3/14/2000,Software Engineer II,Financial Services,High Net Worth,N,Yes,2
3363,Orson,Tythacott,Male,25,3/8/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,3
3089,Wood,Nathan,Male,27,2/24/2000,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2
2134,Crosby,Ruoff,Male,16,2/21/2000,Nurse,Manufacturing,Affluent Customer,N,No,2
2938,Richardo,Cocher,Male,79,2/21/2000,Assistant Manager,Argiculture,Affluent Customer,N,No,2
59,Niki,Heathcote,Male,60,2/8/2000,Physical Therapy Assistant,Financial Services,High Net Worth,N,No,3
3954,Archaimbaud,McAteer,Male,63,2/3/2000,Human Resources Assistant III,Financial Services,High Net Worth,N,No,2
1390,Christyna,Feldberg,Female,74,1/25/2000,Accounting Assistant I,Retail,High Net Worth,N,Yes,1
1392,Marris,Waison,Female,28,1/15/2000,Human Resources Manager,Financial Services,Mass Customer,N,No,1
2337,Odilia,Bick,Female,47,1/11/2000,Programmer Analyst II,Health,Mass Customer,N,No,1
1229,Sebastian,Trass,Male,38,1/8/2000,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1
3850,Alexandro,McCullock,Male,55,1/7/2000,Accountant III,Property,Mass Customer,N,Yes,2
3423,Griselda,Bezants,Female,57,12/27/1999,Registered Nurse,Health,Affluent Customer,N,No,1
1080,Monah,Talbot,Female,70,12/26/1999,Speech Pathologist,Property,Mass Customer,N,Yes,2
2431,Alvy,Tyndall,Male,15,12/24/1999,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2
435,Jerome,Muggeridge,Male,5,12/23/1999,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1
644,Tomlin,Hastwall,Male,59,12/22/1999,Administrative Officer,Health,Affluent Customer,N,No,2
3675,Samuele,Heller,Male,88,12/17/1999,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,1
2833,Cy,Braim,Male,60,11/26/1999,Environmental Specialist,IT,Mass Customer,N,Yes,3
1599,Ozzy,Silver,Male,65,11/24/1999,Senior Financial Analyst,Retail,Affluent Customer,N,No,1
3651,Baxie,Rosas,Male,91,11/15/1999,Human Resources Assistant I,Manufacturing,Mass Customer,N,No,2
803,Nina,Murcutt,Female,96,11/11/1999,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,3
3063,Andrea,Wildber,Male,74,11/4/1999,VP Sales,Financial Services,Affluent Customer,N,No,2
1436,Tonnie,Andryunin,Male,40,10/29/1999,General Manager,Telecommunications,Affluent Customer,N,No,3
3650,Darrelle,Rosas,Female,85,10/21/1999,Office Assistant I,IT,Mass Customer,N,Yes,2
1811,Sylvan,Sugge,Male,59,10/13/1999,Clinical Specialist,Financial Services,Mass Customer,N,No,1
3460,Reinhold,Barthrup,Male,22,10/10/1999,Actuary,Financial Services,Mass Customer,N,No,2
967,April,Causon,Female,44,10/4/1999,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1
2006,Hyacinthia,Tuley,Female,33,10/4/1999,Senior Developer,Property,High Net Worth,N,Yes,2
951,Meryl,Dumbar,Male,44,9/29/1999,Assistant Media Planner,Entertainment,Mass Customer,N,No,1
2342,Clara,Jakel,Female,87,9/17/1999,Nurse Practicioner,IT,Mass Customer,N,No,2
3757,Hyacinthia,Crain,Female,75,9/12/1999,Information Systems Manager,Financial Services,Affluent Customer,N,No,2
2093,Salem,Doiley,Male,94,9/10/1999,Programmer II,Financial Services,High Net Worth,N,No,2
2521,Kellia,Martugin,Female,35,8/29/1999,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,3
3055,Viki,Drache,Female,96,8/23/1999,General Manager,Manufacturing,Mass Customer,N,Yes,2
842,Mahmud,Dobbson,Male,59,8/16/1999,Compensation Analyst,Financial Services,High Net Worth,N,No,2
1028,Thorn,Torfin,Male,10,8/11/1999,Project Manager,Financial Services,High Net Worth,N,No,1
164,Aarika,Van Vuuren,Female,55,8/7/1999,Senior Editor,Retail,Affluent Customer,N,Yes,1
931,Katrina,Sappson,Female,59,8/7/1999,Design Engineer,Manufacturing,Affluent Customer,N,Yes,1
2755,Karen,La Wille,Female,66,7/28/1999,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,1
2929,Winny,Cakes,Male,97,7/28/1999,Nurse,Retail,Mass Customer,N,No,2
3386,Cliff,Nolin,Male,24,7/28/1999,Structural Engineer,IT,High Net Worth,N,Yes,2
1430,Kalli,Pigeram,Female,86,7/24/1999,Biostatistician I,Manufacturing,Mass Customer,N,Yes,3
3188,Boyd,Roycroft,Male,94,7/7/1999,Actuary,Financial Services,Mass Customer,N,No,1
2259,Leanora,Calbert,Female,83,7/2/1999,Environmental Specialist,Retail,Affluent Customer,N,No,2
3989,Nicolas,Burdass,Male,75,6/23/1999,Environmental Specialist,Argiculture,Affluent Customer,N,Yes,1
3953,Allyson,Simak,Female,79,6/18/1999,Help Desk Operator,Health,Affluent Customer,N,Yes,2
804,Henrietta,Seater,Female,98,6/17/1999,Technical Writer,Manufacturing,High Net Worth,N,Yes,1
914,Marc,Egleton,Male,73,6/16/1999,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,2
3908,Dolf,Serridge,Male,64,6/9/1999,Junior Executive,Health,High Net Worth,N,No,1
3152,Lettie,McGenis,Female,6,6/7/1999,Teacher,Financial Services,High Net Worth,N,Yes,3
2543,Horacio,Kitchin,Male,41,6/3/1999,Web Developer III,Property,Affluent Customer,N,No,2
1984,Hewett,Alessandretti,Male,70,6/1/1999,Information Systems Manager,Health,Mass Customer,N,Yes,1
334,Fredi,Iannuzzelli,Female,71,5/20/1999,Financial Advisor,Financial Services,Affluent Customer,N,Yes,3
377,Levy,Bonavia,Male,65,5/19/1999,Staff Scientist,Argiculture,Mass Customer,N,No,1
351,Dev,Hafner,Male,69,5/12/1999,Pharmacist,Health,Mass Customer,N,Yes,2
3133,Eda,MacCheyne,Female,89,5/10/1999,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2
2620,Henderson,Koubek,Male,26,4/30/1999,Civil Engineer,Manufacturing,Mass Customer,N,No,1
3379,Elysee,Spurr,Female,51,4/30/1999,Food Chemist,Health,Mass Customer,N,Yes,2
361,Stephana,Minero,Female,59,3/27/1999,Software Engineer IV,Health,Mass Customer,N,Yes,2
421,Tish,Netti,Female,26,3/19/1999,Sales Representative,Retail,Mass Customer,N,Yes,2
586,Jayme,Baunton,Female,63,3/15/1999,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4
2741,Reinwald,Sinkins,Male,6,2/28/1999,Statistician II,Property,High Net Worth,N,No,4
3131,Sybilla,O' Markey,Female,63,2/24/1999,Sales Representative,Retail,Affluent Customer,N,Yes,3
875,Caryl,Linnett,Male,34,2/23/1999,Recruiting Manager,Financial Services,Mass Customer,N,Yes,2
2704,Orlando,Gniewosz,Male,6,2/8/1999,Account Representative IV,Retail,Affluent Customer,N,Yes,3
3772,Anselma,Rennie,Female,45,2/7/1999,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,2
116,Scottie,Swiffen,Male,49,2/5/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
3357,Georgie,Henze,Male,25,2/1/1999,Design Engineer,Manufacturing,Affluent Customer,N,No,4
2744,Bjorn,Isitt,Male,59,1/25/1999,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3
1724,Davita,Pristnor,Female,28,1/24/1999,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4
2302,Loraine,Beamish,Female,43,1/9/1999,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4
906,Cammy,Marcroft,Male,73,12/30/1998,Financial Analyst,Financial Services,High Net Worth,N,Yes,3
772,Lorianna,Vidyapin,Female,12,12/26/1998,Community Outreach Specialist,Entertainment,Mass Customer,N,No,4
826,Marc,Waddilove,Male,92,12/25/1998,Recruiting Manager,Financial Services,Mass Customer,N,Yes,1
3494,Robers,Richen,Male,72,12/24/1998,Account Representative IV,Argiculture,High Net Worth,N,No,1
3674,Rodger,Gores,Male,59,12/24/1998,Tax Accountant,Property,Mass Customer,N,No,3
2203,Ganny,Alessandrelli,Male,13,12/23/1998,Sales Associate,Health,High Net Worth,N,Yes,2
1415,Merilyn,Dikle,Female,68,12/14/1998,Executive Secretary,Property,High Net Worth,N,Yes,3
2828,Philippine,Maycey,Female,37,12/14/1998,Electrical Engineer,Health,High Net Worth,N,Yes,4
2201,Trisha,Basset,Female,56,12/12/1998,Design Engineer,Financial Services,Affluent Customer,N,Yes,1
704,Lindsay,Acaster,Female,49,12/8/1998,Research Nurse,Health,Mass Customer,N,No,4
1534,Rosabelle,Hollington,Female,74,11/30/1998,Human Resources Assistant I,Manufacturing,Mass Customer,N,No,4
774,Phelia,Perotti,Female,79,11/27/1998,Operator,Manufacturing,High Net Worth,N,No,1
1432,Hiram,Kittiman,Male,70,11/26/1998,Tax Accountant,Argiculture,High Net Worth,N,Yes,2
2016,Laraine,Merioth,Female,89,11/19/1998,Executive Secretary,Retail,Affluent Customer,N,Yes,1
1278,Betsy,Schruurs,Female,14,11/15/1998,Pharmacist,Health,Affluent Customer,N,No,2
1428,Morissa,Ozintsev,Female,93,11/15/1998,Sales Representative,Retail,High Net Worth,N,No,1
3774,Elizabeth,Christy,Female,38,11/7/1998,Statistician I,Property,High Net Worth,N,No,2
2147,Franzen,Kielty,Male,42,11/4/1998,Engineer IV,Entertainment,High Net Worth,N,Yes,1
2626,Gerome,Lawrenz,Male,42,10/24/1998,Account Coordinator,Property,Affluent Customer,N,Yes,4
1334,Cicily,Jenks,Female,72,10/23/1998,Senior Financial Analyst,Financial Services,Mass Customer,N,No,4
2875,Keven,Leahair,Male,71,10/23/1998,Financial Analyst,Financial Services,High Net Worth,N,No,2
1187,Antonino,Hogben,Male,65,10/21/1998,Statistician IV,Financial Services,Mass Customer,N,No,1
2365,Lauretta,Furmonger,Female,2,10/18/1998,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3
2427,Myrta,Whibley,Female,20,10/15/1998,Senior Developer,IT,High Net Worth,N,Yes,2
2266,Jeth,Tomes,Male,74,10/11/1998,Business Systems Development Analyst,Retail,High Net Worth,N,No,1
3095,Joachim,Andreutti,Male,14,10/11/1998,Staff Accountant IV,Retail,High Net Worth,N,Yes,2
3867,Carmelia,Klimentyonok,Female,14,10/9/1998,Geologist II,IT,Mass Customer,N,Yes,1
2377,Kristien,Dunne,Female,29,10/2/1998,Analog Circuit Design manager,IT,High Net Worth,N,No,2
1380,Lavina,Clavey,Female,99,9/30/1998,Financial Analyst,Financial Services,Mass Customer,N,No,3
2300,Cary,Cockerham,Male,20,9/26/1998,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,3
3332,Cissy,Jeffress,Female,43,9/24/1998,Account Representative III,Health,Mass Customer,N,No,3
331,Ford,Groucock,Male,87,9/23/1998,Desktop Support Technician,Health,Mass Customer,N,Yes,3
1384,Marcile,Carren,Female,48,9/9/1998,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2
3858,Sabina,Tarbin,Female,57,8/31/1998,Librarian,Entertainment,Mass Customer,N,Yes,1
945,Hebert,Bernocchi,Male,59,8/26/1998,Human Resources Manager,Manufacturing,High Net Worth,N,Yes,1
3136,Leonardo,Brennon,Male,60,8/25/1998,Marketing Manager,Retail,Mass Customer,N,Yes,3
3716,Kari,Bamlett,Female,81,8/24/1998,Senior Financial Analyst,Retail,Affluent Customer,N,No,1
2224,Sydel,Seccombe,Female,3,8/18/1998,Budget/Accounting Analyst III,Retail,High Net Worth,N,Yes,4
2615,Cordelia,Stendell,Female,23,8/13/1998,Nurse,Financial Services,Mass Customer,N,Yes,1
3544,Benoite,Trahmel,Female,25,8/13/1998,Help Desk Technician,Health,Affluent Customer,N,No,1
2549,Mike,Geggus,Male,12,8/7/1998,Pharmacist,Health,Mass Customer,N,Yes,4
2044,Leyla,Eddington,Female,84,8/2/1998,Quality Engineer,Health,Mass Customer,N,Yes,1
1680,Loise,Austins,Female,5,7/28/1998,Desktop Support Technician,Property,Mass Customer,N,Yes,4
370,Trstram,Bondesen,Male,91,7/27/1998,Systems Administrator III,Telecommunications,Affluent Customer,N,Yes,3
3070,Malissia,Minthorpe,Female,74,7/27/1998,Account Executive,Health,Affluent Customer,N,Yes,1
2737,Andras,Yurocjkin,Male,28,7/20/1998,Research Nurse,Retail,Mass Customer,N,Yes,3
1714,Esma,Rycroft,Female,80,6/26/1998,Senior Sales Associate,Property,High Net Worth,N,Yes,4
1152,Humfrid,Ducket,Male,47,6/23/1998,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,3
3985,Caryn,Padbury,Female,44,6/21/1998,Web Developer IV,Property,Mass Customer,N,No,4
1459,Haydon,Berkery,Male,89,6/16/1998,Senior Sales Associate,Manufacturing,Mass Customer,N,No,4
99,Reggie,Mulliner,Male,97,6/13/1998,VP Accounting,Financial Services,Mass Customer,N,No,3
2292,Christie,MacClure,Female,17,6/2/1998,Research Nurse,Health,Mass Customer,N,Yes,2
3030,Flor,Agnew,Female,68,5/21/1998,Technical Writer,Manufacturing,Affluent Customer,N,No,3
1736,Garrek,Rowbotham,Male,83,5/10/1998,Associate Professor,IT,Affluent Customer,N,No,4
2648,Saunder,Newens,Male,60,5/9/1998,Account Representative I,IT,Affluent Customer,N,No,1
3216,Edgar,Ordish,Male,59,5/8/1998,Database Administrator III,Manufacturing,Mass Customer,N,Yes,1
1142,Michal,Paiton,Male,95,5/7/1998,Desktop Support Technician,Telecommunications,Mass Customer,N,No,2
1302,Ericka,Eggers,Female,29,5/3/1998,Biostatistician I,Financial Services,Affluent Customer,N,Yes,2
1496,Cordie,Disbrow,Female,22,5/2/1998,Human Resources Manager,IT,Affluent Customer,N,No,3
3433,Karissa,Cabral,Female,10,4/28/1998,Computer Systems Analyst II,Property,Mass Customer,N,No,2
632,Angeli,O'Hegertie,Male,67,4/26/1998,General Manager,Health,Mass Customer,N,No,1
1413,Vi,Lauga,Female,47,4/24/1998,Administrative Assistant II,Financial Services,Mass Customer,N,No,3
810,Fawnia,Bartrum,Female,24,4/4/1998,Software Test Engineer IV,Health,Mass Customer,N,Yes,1
1196,Phillie,Bradforth,Female,23,3/19/1998,Research Nurse,Health,Mass Customer,N,No,2
1963,Syman,Trimnell,Male,81,3/18/1998,Biostatistician I,Argiculture,Mass Customer,N,Yes,4
2714,Emmy,Jenton,Female,50,3/17/1998,Occupational Therapist,Health,High Net Worth,N,Yes,1
2101,Maryann,Blatcher,Female,71,3/8/1998,General Manager,IT,Mass Customer,N,Yes,2
3990,Reynard,Hagger,Male,99,3/5/1998,Desktop Support Technician,Health,High Net Worth,N,No,1
2189,Thedric,Fayter,Male,43,2/25/1998,Safety Technician II,Financial Services,High Net Worth,N,No,4
3281,Peg,Cliff,Female,67,2/22/1998,Administrative Assistant III,Financial Services,Mass Customer,N,No,4
604,Mella,Petrovsky,Female,72,2/10/1998,Help Desk Operator,IT,Affluent Customer,N,No,3
1971,Mariel,Dyke,Female,49,2/10/1998,Media Manager IV,Manufacturing,Mass Customer,N,Yes,4
3663,Hermy,Casement,Male,62,2/10/1998,Information Systems Manager,Retail,Affluent Customer,N,No,1
2988,Darrelle,Michie,Female,20,2/2/1998,Administrative Officer,Financial Services,Mass Customer,N,Yes,1
2710,Flory,Standering,Male,77,1/30/1998,Biostatistician II,Retail,Mass Customer,N,No,2
2133,Clarissa,Blaisdale,Female,44,1/20/1998,General Manager,Financial Services,High Net Worth,N,No,3
2161,Tommie,Mardle,Male,35,1/14/1998,Paralegal,Financial Services,Mass Customer,N,No,4
2198,Marijn,Arnoll,Male,1,1/10/1998,Editor,Property,Affluent Customer,N,Yes,1
3219,Denyse,Scutts,Female,94,1/6/1998,Web Developer III,Financial Services,Mass Customer,N,No,3
1466,Cyndia,Gull,Female,62,1/5/1998,Cost Accountant,Financial Services,High Net Worth,N,Yes,2
3943,Adler,Dredge,Male,19,12/30/1997,VP Accounting,Financial Services,Affluent Customer,N,No,2
2187,Brunhilde,Kendall,Female,52,12/27/1997,Budget/Accounting Analyst I,Health,Mass Customer,N,No,2
3917,Artemas,Kyncl,Male,79,12/26/1997,Chemical Engineer,Manufacturing,Mass Customer,N,No,4
1623,Katy,Taffee,Female,29,12/24/1997,Software Test Engineer III,Entertainment,High Net Worth,N,Yes,2
1865,Isabelita,Kitchener,Female,35,12/24/1997,Office Assistant III,Retail,Mass Customer,N,No,3
2865,Lila,Eyeington,Female,11,12/14/1997,Electrical Engineer,Manufacturing,High Net Worth,N,No,3
3050,Dinnie,Worsom,Female,90,12/4/1997,Teacher,Property,High Net Worth,N,No,5
390,Royall,Slimings,Male,83,11/25/1997,Programmer Analyst II,Health,Affluent Customer,N,No,3
887,Patrizius,Hardinge,Male,55,11/17/1997,Accountant IV,Manufacturing,High Net Worth,N,No,1
2298,Brigham,Vyse,Male,64,10/28/1997,Environmental Tech,Property,Mass Customer,N,Yes,5
1156,Breena,Risebrow,Female,22,10/16/1997,Marketing Assistant,Argiculture,Mass Customer,N,Yes,1
1197,Isobel,Lampett,Female,44,10/16/1997,Professor,Financial Services,High Net Worth,N,Yes,5
3502,Wilfrid,Cleaves,Male,5,10/16/1997,Senior Sales Associate,Retail,High Net Worth,N,Yes,3
1527,Gerek,Chape,Male,23,10/15/1997,Chemical Engineer,Manufacturing,Mass Customer,N,No,2
3413,Zulema,Cristofolo,Female,93,10/15/1997,VP Accounting,Financial Services,Mass Customer,N,No,3
1753,Kerry,Ford,Female,6,10/12/1997,VP Product Management,Health,High Net Worth,N,Yes,1
3481,Haley,Dessent,Male,37,10/12/1997,Systems Administrator IV,Manufacturing,High Net Worth,N,No,4
1251,Codie,Arnecke,Male,63,10/1/1997,Desktop Support Technician,Property,Mass Customer,N,No,2
1207,Mabel,Marousek,Female,30,9/25/1997,Engineer IV,Health,Mass Customer,N,No,1
3587,Ines,Galfour,Female,85,9/24/1997,Web Developer III,Health,Affluent Customer,N,No,2
1899,Lambert,Vardey,Male,29,9/2/1997,Safety Technician II,Retail,Affluent Customer,N,Yes,4
3609,Chicky,Butterfield,Male,69,9/2/1997,Marketing Manager,Manufacturing,Mass Customer,N,No,4
2781,Linnea,Jeacop,Female,4,9/1/1997,VP Sales,Financial Services,Affluent Customer,N,Yes,5
3753,Ebony,Peagrim,Female,16,8/21/1997,Office Assistant II,Manufacturing,Mass Customer,N,No,3
1897,Cosette,Callar,Female,58,8/20/1997,Product Engineer,Manufacturing,Mass Customer,N,Yes,1
1335,Sibylla,Marlon,Female,57,8/14/1997,Physical Therapy Assistant,Entertainment,Mass Customer,N,Yes,3
2550,Dionysus,Elmhurst,Male,34,8/12/1997,Pharmacist,Health,Mass Customer,N,Yes,4
1549,Vikki,Tett,Female,87,8/6/1997,Programmer Analyst II,Financial Services,Affluent Customer,N,Yes,4
183,Dannie,Hissie,Female,7,8/5/1997,Geologist III,Retail,Affluent Customer,N,No,3
1491,Agneta,Swiggs,Female,96,8/3/1997,Senior Sales Associate,Health,Mass Customer,N,Yes,4
3198,Dur,Knappen,Male,66,8/2/1997,Media Manager III,Manufacturing,Mass Customer,N,Yes,1
134,Merna,McCulloch,Female,34,8/1/1997,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5
278,Sydney,Georger,Male,22,7/30/1997,Executive Secretary,Financial Services,Affluent Customer,N,Yes,4
1025,Ario,Jeromson,Male,69,7/30/1997,Quality Engineer,IT,Mass Customer,N,Yes,5
677,El,Toupe,Male,59,7/28/1997,Senior Cost Accountant,Financial Services,Mass Customer,N,No,5
2930,Goddard,Benthall,Male,46,7/25/1997,Assistant Media Planner,Entertainment,Mass Customer,N,No,3
